,Unnamed: 0,text
1000,73735,"A British army captain, who is from Dublin, was found dead in the Brecon Beacons in Wales."
1001,173381,"The M1 north highway was blocked off at the Empire Road due to an accident, says Johannesburg Metro police."
1002,156842,Treasury Secretary Henry Paulson on Thursday prescribed some tough new medicine for Wall Street to try to ensure that the current fever of market turmoil is not repeated.
1003,11130,THE shattered mother of serial killer Colin Norris yesterday told the Sunday Mail: ``I was so proud of him.''
1004,157505,Online hunting gear retailer Everything For Hunting is now giving away free gift certificate codes to anyone who visits their website.
1005,162097,Norton Rose Group - International legal practice Norton Rose LLP has advised the Jordan Atomic Energy Commission on a 25-year uranium mining agreement with the French nuclear power utility Areva to explore and mine uranium deposits within the central area of Jordan.
1006,32097,"A Timaru chartered accountant has been deregistered and ordered to pay $14,940, after a disciplinary tribunal hearing."
1007,33487,The Red Cross told Syria on Friday it was unacceptable that its aid convoy had been prevented from entering a battle-scarred district of Homs where the opposition said President Bashar Assad's army had committed a massacre.
1008,45007,"A CAR was hit by a freight train in Baxter, stopping diesel services the Stony Point line this morning."
1009,114412,Opponents of Pakistani Prime Minister Yousuf Raza Gilani are calling for him to step down after he was found guilty of contempt.
1010,18401,"Higher test scores, higher state accountability ratings, improved teacher morale, and lower teacher turnover prove that students are benefiting from teacher incentive pay in Texas."
1011,26053,50 Cent has won a court case evicting his ex-girlfriend and 10 year old son from one of his mansions.
1012,34926,"After playing two thought provoking roles as wannabe singer and wannabe actor in ``Rock On'' and ``Luck By Chance'', Farhan Akhtar is all set to try his hand at comedy for the first time in ``Kartik Calling Kartik''."
1013,188272,Tulsa police are trying to determine the source of a bloody sheet and a pool of blood that were found in a street.
1014,31798,"A hit-and-run traffic collision was reported on the northbound Highway 14 freeway shortly before 6 pm Friday, backing up traffic in Canyon Country, the California Highway Patrol reported."
1015,115460,Newcastle have been plunged into crisis after managing director Derek Llambias quit the club after reportedly rowing with owner Mike Ashley.
1016,96399,Four Leyland pubs fear they could be closing for good in 12 weeks' time after a dispute with one of the UK's biggest pub companies.
1017,170806,A post mortem is being carried out on the body of a young man found dead in Co. Monaghan yesterday afternoon.
1018,35497,"Bus drivers in Glasgow have been taught common Glaswegian phrases to help them assist their passengers, it has emerged."
1019,76999,"Rovlatis, a new 'smart' ROV designed for international marine applications by the University of Limerick's Mobile & Marine Robotics Research Centre, which was reported in these columns earlier this year, has now completed secondary trials and demonstrations in Limerick Dock attended by investors and prospective partners."
1020,40201,"UC Rusal could slash its aluminium output by 6% in the coming 18 months, as producers worldwide pare production to bring supply back in line with demand."
1021,121151,"Two British soldiers, who cannot be named for legal reasons, admit abusing Afghan civilians during at a court martial hearing in Sennelager, Germany."
